Unique Number	Beds	Max Occupancy	Base Daily Rate	Smoking Status	Bed Sizes	Quality Level	Room Size
101	3	3	10	Prohibited	"Twin, King"	Executive	Single
200	2	2	20.99	Permitted	"Queen, King"	Economy	Deluxe
150	7	5	13.99	Permitted	"Twin, Full"	Business	Family
399	1	1	5000.99	Prohibited	Full	Comfort	Deluxe
220	5	3	3099.99	Prohibited	"King, Full"	Economy	Standard
117	4	2	14.5	Permitted	"Full, Queen"	Comfort	Double
114	2	2	12.3	Permitted	"Queen, Full"	Business	Family
246	4	2	24.33	Prohibited	King	Executive	Suite
239	9	5	23.99	Prohibited	Twin	Executive	Deluxe
119	5	4	5.5	Prohibited	Queen	Comfort	Double
199	3	3	10	Prohibited	"Twin, King"	Executive	Single
154	3	3	10	Prohibited	"Queen, King"	Executive	Single
